"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"bo¿onarodzeniowy";0,00229697843949334;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bo¿y";0;0;0,00227523027676476;0;0,00749309171147862;0;0,00224568183161197;0,00511473836960998;0;0;0;0;0;0;0;0;0;0;0
"ból";0,00282492752410442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00635552509002966;0;0,0117311234040636;0
"bracia";0;0,0024076556808329;0;0;0;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"braciæ";0,00114848921974667;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"braæ";0;0;0;0,00324845016393582;0;0,00168636722688941;0;0;0;0;0,00649690032787163;0;0;0;0;0;0,00566228592806949;0;0
"brakowaæ";0,000794882430496317;0;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0
"brat";0,000509396248722059;0,00106788183201333;0,00145806942447974;0;0;0;0,00143913345792805;0,00163887666824344;0;0,00316609360744172;0,00555133946584193;0;0;0;0;0;0;0;0
"broniæ";0,000588035718784452;0;0;0;0;0;0,00166130370901342;0,00378376567172339;0;0,00365486815982951;0,00160208575406785;0;0;0;0;0;0,012566486242235;0;0
"brown";0;0,0024076556808329;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budziæ";0,00190594503536293;0,00159822462861568;0;0,00155780709826774;0,0011977805688903;0,000808704060015959;0,00215385117282972;0;0;0,00592309072528172;0,00103853806551182;0;0;0,0156232248116127;0;0;0;0;0
"butelka";0,00114848921974667;0;0,00986212807725785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byæ";0,000876688519956101;0,000551358443536513;0,00125469389394527;0,000716553507062386;0,00137737507468659;0,000371984266231936;0,000990719334439902;0,000564112658574711;0,00354182162062265;0,000544895633941946;0,00143310701412477;0;0,00169813365372319;0,00359315236874762;0,00595026032264605;0;0,00187350765826387;0,00109219168917879;0
"ca³kowicie";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0,00818117761572692;0;0
"ca³owaæ";0;0,00166636583650377;0;0;0,00249769723715954;0;0;0,00255736918480499;0;0;0;0;0;0;0;0;0;0,0198055287528069;0
"ca³y";0,00257871822487508;0,00245724615538336;0,00134203443870937;0,00287412577769839;0,00220988337574143;0,00298408857939578;0,00264921084004967;0,00226267922430863;0;0,00218559894304098;0,00255477846906524;0;0;0;0;0;0,00166993705975423;0,00584110143367779;0
"cedrik";0,00689093531848003;0;0;0;0;0,0121827738688807;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";0,0080394245382267;0;0;0;0;0,0121827738688807;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedriku";0;0;0;0;0;0,00243655477377613;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"cel";0,000588035718784452;0,00369821722621741;0;0,00720938589330533;0,00184773890302492;0,00124753564345269;0;0;0;0;0;0;0,00759344754667776;0;0;0;0;0;0
"cenny";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0143080507200158;0
"centaur";0;0;0;0;0;0,00199772319033941;0;0,00908861779086153;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"chang";0,00114848921974667;0;0;0;0;0;0;0,00739005122512761;0;0;0;0;0;0;0;0;0;0;0
"charlie";0,00282492752410442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0127110501800593;0;0,0117311234040636;0
"charliego";0,000794882430496317;0;0,00227523027676476;0;0;0;0;0;0;0;0;0;0;0;0;0,00536498213232359;0;0,00990276437640346;0
"char³ak";0;0;0;0,00469353686913813;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"chat";0,000794882430496317;0,00166636583650377;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0;0
"chata";0;0,0024076556808329;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"chatka";0;0;0,00227523027676476;0;0,00249769723715954;0;0,00224568183161197;0;0,0321132501920512;0;0;0;0;0;0;0;0;0;0
"chcieæ";0,000778947297358524;0,000653183975368393;0,00401331307942696;0,00636665594488412;0,000979050203079959;0,00330512071557375;0,000880264917854109;0,00100244048096924;0,00629389416265688;0,00096829140963952;0,00212221864829471;0;0,0040234939852601;0;0;0,0010514858982959;0;0;0,00348278728368365
"ch³opak";0,00101879249744412;0;0;0,00208175229969072;0,00480190863795327;0,00324209885533229;0;0;0;0;0,00693917433230241;0;0;0;0;0;0;0,0063461347638149;0,0113879256236046
"ch³opiec";0,00228713404243552;0;0,00872876527936253;0,00155780709826774;0,0011977805688903;0,0113218568402234;0,00538462793207429;0;0,0154000358857325;0,00710770887033806;0;0;0,0024611929497746;0;0;0;0;0;0
"cho";0,00574244609873335;0;0;0;0;0;0;0,0147801024502552;0;0;0;0;0;0;0;0;0;0;0
"chocia¿";0;0,00197402891973494;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0;0;0,0117311234040636;0
"chodziæ";0;0;0;0,00240312863110178;0,00739095561209969;0,00124753564345269;0;0;0;0;0;0;0,00379672377333888;0;0,0133037201017794;0,00396889024516093;0;0;0
"chory";0,000941642508034805;0,00197402891973494;0;0,00384821533630409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chroniæ";0;0;0;0;0;0,00144486077911195;0;0;0;0;0;0;0;0,0279130350515395;0;0,00459665732352321;0,00485138392583431;0;0,00761264592314713
"chrzestny";0,00238464729148895;0,00333273167300754;0;0;0;0;0,00449136366322395;0,00511473836960998;0;0;0;0;0;0;0;0;0;0;0
"chudy";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0259834201075487;0;0;0;0
"chwila";0,00571783510608879;0,00879023545738622;0,00109109565992032;0,00155780709826774;0;0;0,00430770234565943;0;0;0,00236923629011269;0,00415415226204729;0;0,00738357884932379;0;0;0,0102911934319931;0;0;0
"chyba";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"cia³o";0,00176510256498386;0,000925075992174637;0;0,0018033634587335;0,00138658612604843;0;0;0,00141971275704617;0;0,00137134891587207;0,00360672691746701;0;0;0;0;0;0;0,00549747803279113;0
"ci¹gle";0;0;0;0;0;0,00199772319033941;0;0,00302953926362051;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"cichy";0,00114848921974667;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ciemnoœæ";0;0;0;0;0;0,00399544638067881;0;0;0;0;0,00513095378173878;0;0,0121596575923399;0;0;0;0;0;0
"ciemny";0,00158976486099263;0;0;0;0;0;0,00449136366322395;0,00255736918480499;0;0;0;0;0;0;0,0179834201075487;0;0;0;0
"cierpieæ";0;0;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0
"cieszyæ";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0
"ciê¿ki";0;0,00197402891973494;0;0;0;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0,0117311234040636;0
"ciê¿ko";0;0;0;0,00469353686913813;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"ciocia";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0,0550496188719252;0;0;0;0;0;0;0
"ciotka";0,000681046470493714;0;0;0;0;0,00144486077911195;0,00384815068642602;0,00219112561838023;0;0;0;0;0;0;0;0;0,00485138392583431;0;0
"cmentarz";0,00459395687898668;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"codziennie";0;0,00481531136166581;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0
"cofaæ";0;0;0;0;0;0,00974621909510453;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0
"cofn¹æ";0;0;0;0;0;0,0121827738688807;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"colin";0;0,0024076556808329;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"córka";0;0,00285544761831909;0;0;0;0,00577944311644778;0;0;0;0;0,00185549076932199;0;0;0;0;0;0,00485138392583431;0,00848457893637103;0
"crabbea";0;0,0024076556808329;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"crabbeem";0;0;0;0,00469353686913813;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"creevey";0;0,0024076556808329;0;0,00469353686913813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cross";0;0,00106788183201333;0,00145806942447974;0,00208175229969072;0,00160063621265109;0,0010806996184441;0,00143913345792805;0,00163887666824344;0;0;0;0;0;0;0;0;0;0;0
"cruciatus";0,000794882430496317;0,00166636583650377;0;0;0,00249769723715954;0,00168636722688941;0;0;0;0;0;0;0;0;0;0;0;0;0
"cud";0;0;0,00328737602575262;0;0;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"cudowny";0;0;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0,0128376581559035
"cullen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0254221003601187;0;0,0234622468081271;0,0105255534099701
"cullenowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0201231613052073;0,0117311234040636;0,0210511068199402
"cullenów";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00635552509002966;0,0201231613052073;0;0,0105255534099701
"czar";0,000794882430496317;0,00166636583650377;0;0;0;0;0;0,00255736918480499;0;0;0,00216563344262388;0;0;0;0;0;0;0;0
"czara";0,00114848921974667;0,00481531136166581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarnoksiê¿nik";0;0;0,00657475205150523;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarnomagiczny";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"czarny";0,00304951205658069;0,00719201082877054;0,00109109565992032;0,00155780709826774;0,00359334170667091;0,00646963248012767;0,00538462793207429;0,0073583789215104;0;0,00236923629011269;0;0;0;0;0;0;0;0;0
"czarodziej";0,0129604262404679;0,00159822462861568;0,00436438263968127;0,00155780709826774;0,0011977805688903;0,00485222436009575;0,00323077675924457;0;0;0;0;0;0,012305964748873;0,0156232248116127;0;0;0;0;0
"czarodziejski";0;0;0,00328737602575262;0,00938707373827626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarownica";0,00101879249744412;0;0;0;0;0,0010806996184441;0;0,00163887666824344;0;0,00316609360744172;0,037471541394433;0;0;0,0208778636432751;0,0576229036554393;0;0;0;0
"czary";0,00689093531848003;0;0;0;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"czas";0,00108533672578345;0,00101122881492978;0,00241625346644278;0,00246413957973314;0,00075785981741126;0,00793109111244342;0,00204417732968072;0,00116394852503436;0,00487195596907238;0,0014990633750992;0,000985655831893257;0;0,00155724620016012;0;0;0,00406965295745903;0,00171807011503812;0,00450709583041939;0
"czekaæ";0,00132382692373789;0,000925075992174637;0,00505233811110763;0;0;0;0,00374004249783292;0;0,0178275359063369;0,00137134891587207;0,00480896922328935;0;0;0;0;0;0,00314339424041205;0;0
"czemu";0;0;0,00657475205150523;0;0;0;0;0;0;0;0,00625804915885084;0;0;0;0;0;0;0;0
"czerwony";0,00114848921974667;0;0;0;0;0;0;0;0;0,00713830222734854;0;0;0;0;0;0;0;0;0
"czêsty";0;0;0;0;0;0,00399544638067881;0;0;0;0;0;0;0;0,0385936958365569;0;0;0;0;0,0210511068199402
"czêœæ";0,000794882430496317;0;0;0;0;0,00337273445377882;0;0,00255736918480499;0;0;0;0;0;0,0325786596151244;0;0;0;0;0
"cz³onek";0,000794882430496317;0,00666546334601508;0;0;0;0;0;0,00255736918480499;0;0;0;0;0,00513225459690316;0;0;0;0;0;0
"cz³owiek";0,00114356702121776;0;0,00218219131984063;0;0;0,000808704060015959;0;0,0012263964869184;0;0,00118461814505634;0,00311561419653547;0;0,0024611929497746;0;0;0,0077183950739948;0;0;0,0127826384822285
"czo³o";0,000941642508034805;0;0,00269530871733039;0;0;0;0;0;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"cztery";0,00235214287513781;0;0,00168316296834254;0;0;0;0;0;0;0,00182743407991476;0,0032041715081357;0;0,00379672377333888;0;0;0,00396889024516093;0;0;0
"czuæ";0,00136209294098743;0;0;0;0;0,00288972155822389;0;0;0;0,00423296575506862;0;0;0;0;0;0;0,00485138392583431;0,00848457893637103;0
"czwarty";0,00114848921974667;0;0;0;0;0,0073096643213284;0;0;0;0;0;0;0;0;0;0;0;0;0
"czwórka";0,00188328501606961;0;0;0;0;0,00399544638067881;0;0;0;0;0;0;0;0;0;0;0;0;0,0105255534099701
"czy";0,00152818874616618;0,00213576366402666;0;0;0,00320127242530218;0;0;0,00163887666824344;0;0;0,00416350459938145;0;0;0,0208778636432751;0;0;0,00362864632590927;0;0
"czytaæ";0;0,00499909750951131;0;0;0,00249769723715954;0;0;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0,00888508898594303
"æwiczyæ";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"daæ";0,000441275641245964;0,00370030396869855;0,00252616905555382;0,00541009037620051;0,00138658612604843;0,00187235936000538;0;0;0;0;0,00240448461164467;0;0,00284914957407211;0;0;0;0;0;0
"daleki";0,000588035718784452;0,0012327390754058;0;0;0;0,00124753564345269;0;0,00189188283586169;0;0,00182743407991476;0;0;0;0;0;0;0;0;0,0065729842400096
"daleko";0,00203758499488823;0,00106788183201333;0,00729034712239869;0;0;0;0;0;0;0,00633218721488344;0,00277566973292097;0;0,00328897851914608;0;0;0;0;0;0,0056939628118023
"data";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"dawaæ";0,00101879249744412;0,00533940916006665;0,00291613884895948;0;0,00160063621265109;0;0,00143913345792805;0,00491663000473031;0;0;0;0;0;0;0;0;0;0,0126922695276298;0
"dawny";0,000941642508034805;0,00197402891973494;0;0;0,00295885001413603;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dean";0;0,00722296704249871;0;0;0,0216528500896239;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"decydowaæ";0,000681046470493714;0,00142772380915954;0;0;0,00641999806185408;0;0;0;0;0,00211648287753431;0;0;0;0;0;0;0;0;0,0152252918462943
"decyzja";0,00158976486099263;0;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0,00990276437640346;0
"dementora";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"dementorami";0;0,0024076556808329;0;0;0;0;0,00648936566122595;0;0;0;0;0;0;0;0;0;0;0;0
"dementorów";0;0,00166636583650377;0;0;0,00249769723715954;0;0,00898272732644789;0,00255736918480499;0;0;0;0;0;0;0;0;0;0;0
"dementorzy";0;0,00197402891973494;0;0;0;0,00399544638067881;0,0106412188320577;0;0;0;0;0;0;0;0;0;0;0;0
"departament";0,00158976486099263;0;0;0;0,00249769723715954;0,00337273445377882;0;0,00767210755441497;0;0;0;0;0;0;0;0;0;0;0
"deszcz";0,000794882430496317;0,00166636583650377;0;0,00324845016393582;0;0;0;0;0;0;0,00216563344262388;0;0;0;0;0;0;0;0
"diggory";0,00344546765924001;0;0;0;0;0,00487310954755227;0;0;0;0;0;0;0;0;0;0;0;0;0
"diggoryego";0,00344546765924001;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"dlaczego";0,00114848921974667;0;0,00986212807725785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dlatego";0,00114356702121776;0;0;0;0,0011977805688903;0;0,00107692558641486;0;0;0,00118461814505634;0,00103853806551182;0;0,0024611929497746;0;0;0,0102911934319931;0,00271537156675384;0;0,00426087949407618
"d³oñ";0,00114848921974667;0;0;0;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"d³ugi";0,000681046470493714;0;0,00584817637213428;0;0;0;0,00192407534321301;0;0;0,00211648287753431;0,00185549076932199;0;0;0;0;0;0;0;0
"d³ugo";0,000794882430496317;0,00333273167300754;0,00227523027676476;0;0;0;0;0;0;0;0;0;0;0;0;0,00536498213232359;0;0;0
"dna";0;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0
"dobiegaæ";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"dobry";0;0,00185015198434927;0,00757850716666145;0;0,00138658612604843;0,00187235936000538;0,00124668083261097;0,00141971275704617;0;0,00137134891587207;0,00360672691746701;0;0;0;0;0;0;0;0
"dobrze";0,0011760714375689;0;0;0;0,00184773890302492;0,00124753564345269;0,00498391112704025;0;0;0,00182743407991476;0;0;0,00379672377333888;0;0;0;0;0;0
"dochodziæ";0,000774381605802678;0,00121754142765566;0,000554137444638151;0,00158233466850432;0,000608319772558326;0,000410718526108397;0,000546940854448045;0;0;0,0012032698797857;0,000527444889501439;0;0;0;0,00437990236241995;0;0,00137906245668134;0,004823681015881;0,00216398338064227
"docieraæ";0,004767325293456;0;0;0;0,00213999935395136;0;0;0;0;0,00211648287753431;0,00185549076932199;0;0;0;0;0;0;0;0,00761264592314713
"dodatek";0,000941642508034805;0;0;0,00384821533630409;0;0,00399544638067881;0;0;0;0;0;0;0;0;0;0;0;0;0
"dodatkowo";0;0;0;0;0,00360880834827065;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"dodatkowy";0;0;0,00328737602575262;0;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"dodawaæ";0,00114848921974667;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
